datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,icon
2015-01-01,31.0,23.0,26.6,31.3,23.0,26.9,17.9,60.4,0.0,0,0.0,rain,20.5,18.4,26.4,1012.5,52.6,8.5,230.6,19.9,8,2015-01-01T06:11:34,2015-01-01T17:41:42,0.36,Partially cloudy,partly-cloudy-day
2015-01-02,30.0,20.0,25.0,30.3,20.0,25.1,15.7,56.7,0.0,0,0.0,rain,21.6,13.0,332.0,1012.9,64.7,9.8,186.2,16.1,7,2015-01-02T06:11:58,2015-01-02T17:42:15,0.39,Partially cloudy,partly-cloudy-day
2015-01-03,32.0,23.0,26.7,33.4,23.0,27.4,18.9,63.3,0.2,100,8.33,rain,23.8,13.0,8.1,1011.9,51.5,9.5,185.8,16.0,8,2015-01-03T06:12:21,2015-01-03T17:42:47,0.43,"Rain, Partially cloudy",rain
2015-01-04,32.0,24.0,27.1,34.8,24.0,28.3,21.2,71.3,0.0,0,0.0,rain,22.7,13.0,233.9,1010.2,58.5,8.2,125.8,10.9,4,2015-01-04T06:12:44,2015-01-04T17:43:20,0.46,Partially cloudy,partly-cloudy-day
2015-01-05,30.9,25.0,26.7,33.6,25.0,27.8,22.0,76.3,6.0,100,4.17,rain,24.8,18.4,148.5,1009.9,78.5,8.7,163.4,14.1,8,2015-01-05T06:13:05,2015-01-05T17:43:53,0.5,"Rain, Partially cloudy",rain
2015-01-06,32.0,23.0,26.8,34.8,23.0,28.0,21.5,74.0,9.0,100,4.17,rain,26.6,13.0,119.3,1009.6,52.1,8.5,192.4,16.6,7,2015-01-06T06:13:26,2015-01-06T17:44:26,0.53,"Rain, Partially cloudy",rain
2015-01-07,32.0,24.0,27.4,34.8,24.0,28.8,21.6,72.5,0.6,100,16.67,rain,31.7,13.0,117.9,1010.1,55.0,8.5,168.0,14.5,7,2015-01-07T06:13:46,2015-01-07T17:44:58,0.57,"Rain, Partially cloudy",rain
2015-01-08,32.9,23.9,27.7,34.1,23.9,28.6,20.0,64.2,0.0,0,0.0,rain,20.5,13.0,120.4,1011.4,47.5,9.5,190.9,16.5,7,2015-01-08T06:14:05,2015-01-08T17:45:31,0.6,Partially cloudy,partly-cloudy-day
2015-01-09,32.0,22.0,27.1,32.9,22.0,27.8,19.0,62.7,0.0,0,0.0,rain,25.6,13.0,114.2,1012.1,46.7,10.4,223.0,19.2,9,2015-01-09T06:14:24,2015-01-09T17:46:03,0.63,Partially cloudy,partly-cloudy-day
2015-01-10,33.0,24.0,27.5,35.0,24.0,28.4,20.3,66.9,0.0,0,0.0,rain,19.1,16.6,280.7,1011.2,48.9,7.9,210.9,18.2,8,2015-01-10T06:14:41,2015-01-10T17:46:36,0.66,Partially cloudy,partly-cloudy-day
