iter	RMSE
0	1.341600725
1	1.316378672
2	1.292189552
3	1.269155333
4	1.249138591
5	1.229204266
6	1.210336115
7	1.192693027
8	1.17626988
9	1.159997111
10	1.147125485
11	1.133502687
12	1.120118503
13	1.10799205
14	1.096986774
15	1.086161136
16	1.076476632
17	1.067007201
18	1.058081194
19	1.049978086
20	1.043006981
21	1.035853875
22	1.029484527
23	1.022399775
24	1.016914635
25	1.011457914
26	1.005603458
27	1.000079471
28	0.9945654539
29	0.989130013
30	0.9854895405
31	0.9820294825
32	0.9777302846
33	0.9733268255
34	0.9695324904
35	0.966304225
36	0.9620875788
37	0.9581959326
38	0.9551737874
39	0.9511103186
40	0.9485444739
41	0.9454543986
42	0.9428950811
43	0.9399093101
44	0.9369206988
45	0.9343951086
46	0.9318330866
47	0.9290111905
48	0.9262028091
49	0.9227933585
50	0.9200629386
51	0.9178710255
52	0.9161326596
53	0.9134778472
54	0.9114510845
55	0.9091733211
56	0.9069392979
57	0.9052661683
58	0.9035331595
59	0.9013257945
60	0.8995313597
61	0.8973940768
62	0.8951494831
63	0.8929305779
64	0.8907430025
65	0.8893519187
66	0.8879718976
67	0.8857107226
68	0.884346264
69	0.8825393233
70	0.8809731114
71	0.8795761277
72	0.8779050146
73	0.8760913005
74	0.8745509433
75	0.8729697312
76	0.8713571848
77	0.8702515705
78	0.8694245468
79	0.8679875867
80	0.8667064335
81	0.8654222136
82	0.8645469995
83	0.8628466407
84	0.8609198166
85	0.8595300904
86	0.8576352029
87	0.8562178455
88	0.8543935255
89	0.8526293654
90	0.8508468375
91	0.8493423779
92	0.8476465612
93	0.8471275946
94	0.8460006219
95	0.8448544017
96	0.8439477028
97	0.8431518537
98	0.8419500065
99	0.8409252156
100	0.8398253016
101	0.8387768982
102	0.8376237703
103	0.835560989
104	0.8338782476
105	0.8324148909
106	0.8313867784
107	0.8306292478
108	0.8295151529
109	0.8281549586
110	0.8267223777
111	0.8261949615
112	0.8249254886
113	0.8238807948
114	0.822389599
115	0.8206461091
116	0.8195388219
117	0.8187476655
118	0.8177341731
119	0.8169129267
120	0.8161455674
121	0.8154658287
122	0.8141665443
123	0.8129623907
124	0.8120751776
125	0.8105703602
126	0.8098283965
127	0.8086199008
128	0.8074459129
129	0.8064264954
130	0.8056831024
131	0.8047031454
132	0.8029703853
133	0.8019867177
134	0.8002851889
135	0.7996020321
136	0.7989603579
137	0.7981869916
138	0.7972454213
139	0.7961037629
140	0.7952182041
141	0.7937610376
142	0.7928203429
143	0.7919364563
144	0.7900800312
145	0.7889523988
146	0.7881380787
147	0.7875057685
148	0.7865403359
149	0.7851367902
150	0.7842220784
151	0.7836342151
152	0.7827507168
153	0.7817085459
154	0.781313472
155	0.7808883844
156	0.7804057004
157	0.779523459
158	0.7789738334
159	0.7779335057
160	0.7764120891
161	0.7752392139
162	0.7745493553
163	0.7737342608
164	0.7723095837
165	0.7717216726
166	0.7706686179
167	0.7697193673
168	0.7681671602
169	0.767168424
170	0.7663890681
171	0.7649674612
172	0.7639529895
173	0.7633083496
174	0.76233949
175	0.7610873544
176	0.7596487124
177	0.7588477599
178	0.7583787501
179	0.7567323237
180	0.7560587463
181	0.7554216831
182	0.7548260955
183	0.7538578253
184	0.7524943381
185	0.7516739817
186	0.7513861134
187	0.7504119076
188	0.7495912113
189	0.7485710293
190	0.7478459199
191	0.7470166462
192	0.7461356855
193	0.7452867011
194	0.7441965848
195	0.742591597
196	0.7414233447
197	0.7407734096
198	0.7393180557
199	0.7383874974
200	0.7369681919
201	0.7357313323
202	0.7344634431
203	0.733842416
204	0.7324443286
205	0.7323381
206	0.7322732217
207	0.7312428624
208	0.7299925875
209	0.7289539967
210	0.7279615049
211	0.7271137998
212	0.725920832
213	0.7244198743
214	0.7236957779
215	0.7226709096
216	0.7218791558
217	0.7213671398
218	0.7202771714
219	0.7192776056
220	0.7180091719
221	0.7170219796
222	0.716154363
223	0.7153557305
224	0.7143670958
225	0.7133601045
226	0.7129760072
227	0.7121030786
228	0.711022348
229	0.710014238
230	0.7094024208
231	0.7087447212
232	0.7086609565
233	0.7080893573
234	0.7069235476
235	0.706194188
236	0.7054753231
237	0.7049058201
238	0.7042996634
239	0.7028222639
240	0.7023626827
241	0.701220905
242	0.7009926104
243	0.7002699477
244	0.6990108791
245	0.6982166651
246	0.6970715162
247	0.6965214159
248	0.6954751704
249	0.694236199
250	0.6930695007
251	0.6921811746
252	0.6907897197
253	0.6894388184
254	0.688200597
255	0.6873751378
256	0.6864930288
257	0.6855822132
258	0.6854890963
259	0.6845050793
260	0.6836355844
261	0.6829549625
262	0.6821348459
263	0.6816288474
264	0.6815451221
265	0.6808789679
266	0.679856351
267	0.6788146405
268	0.6776008116
269	0.6772494721
270	0.6767760169
271	0.6759148082
272	0.6748565222
273	0.6736306266
274	0.6727886289
275	0.6720394566
276	0.6711293057
277	0.6699539062
278	0.6698468692
279	0.6691271464
280	0.6682318667
281	0.6672424802
282	0.6670774828
283	0.6670019873
284	0.6661344859
285	0.6650721552
286	0.6641095897
287	0.6640373237
288	0.663966287
289	0.663201988
290	0.6626782206
291	0.6620837683
292	0.6612154634
293	0.6605748474
294	0.659675763
295	0.6587112139
296	0.6577385655
297	0.6566201827
298	0.6565538635
299	0.6564891727
300	0.6555894961
301	0.6548676413
302	0.6537437959
303	0.6526783357
304	0.652614215
305	0.6514873381
306	0.6507139127
307	0.6498506796
308	0.6489955752
309	0.6483116793
310	0.6473463665
311	0.6463909645
312	0.6453627793
313	0.6440860724
314	0.6440138101
315	0.6430990848
316	0.6422035337
317	0.6415762634
318	0.6405830952
319	0.6395469144
320	0.6387538799
321	0.6380760122
322	0.6373113145
323	0.6364776347
324	0.6356565167
325	0.6355969034
326	0.635541441
327	0.6343128662
328	0.6331300492
329	0.6322850438
330	0.6316586762
331	0.6305502623
332	0.6295128972
333	0.6290903816
334	0.6283119768
335	0.6277542933
336	0.6272911192
337	0.626996692
338	0.6261444089
339	0.6253194977
340	0.6252214384
341	0.6246228467
342	0.6239882857
343	0.6228112228
344	0.6220938682
345	0.6220447689
346	0.6214343071
347	0.6205358385
348	0.6196209343
349	0.6186049435
350	0.6175796098
351	0.6169382532
352	0.6164246874
353	0.6158073124
354	0.6147715792
355	0.613777372
356	0.6131585929
357	0.6117096529
358	0.6108016665
359	0.6107542216
360	0.6099426673
361	0.6092926123
362	0.6092435676
363	0.6087776806
364	0.6081844498
365	0.6076843101
366	0.6067490198
367	0.6067092227
368	0.6061319788
369	0.605040454
370	0.6041372309
371	0.603615327
372	0.6035664321
373	0.6030235135
374	0.6019267859
375	0.6011486278
376	0.6007496321
377	0.6000301592
